city,kill_sum,severity_score
bazarak,3.0,4.0
obe,3.0,4.0
kaliari-nguetchewe,3.0,4.0
chahar qala,3.0,4.0
rowza,3.0,4.0
godam,3.0,4.0
gereshk,3.0,4.0
kamuya,3.0,4.0
gazah,3.0,4.0
gujba,3.0,4.0
al-bu bakr,3.0,4.0
mitope,3.0,4.0
abraka,3.0,4.0
abi adi,3.0,4.0
masana,3.0,4.0
afaat center,3.0,4.0
abazano,2.0,3.0
maymana,2.0,3.0
mashkai,2.0,3.0
masisi district,2.0,3.0
miango,2.0,3.0
mihtarlam,2.0,3.0
milampilli,2.0,3.0
min nay kone,2.0,3.0
mir bacha kot district,2.0,3.0
maqbanah,2.0,3.0
marjah,2.0,3.0
ramadi,2.0,3.0
riyom district,2.0,3.0
ghazali,2.0,3.0
rambouillet,2.0,3.0
ain issa,2.0,3.0
akashat,2.0,3.0
akbar bai,2.0,3.0
yitzhar,2.0,3.0
yoruba,2.0,3.0
yao-yao,2.0,3.0
al-aith,2.0,3.0
quneitra,2.0,3.0
garin gada,2.0,3.0
guchhaguda,2.0,3.0
yabatalou,2.0,3.0
al-jalisiya,2.0,3.0
manga,2.0,3.0
wedow,2.0,3.0
wibora,2.0,3.0
witoke,2.0,3.0
al-mosafer,2.0,3.0
al-mushbah,2.0,3.0
al-shadadi,2.0,3.0
makassar,2.0,3.0
alagano,2.0,3.0
alamkhel,2.0,3.0
wana,2.0,3.0
valera,2.0,3.0
alasay district,2.0,3.0
halwan,2.0,3.0
qoqaye,2.0,3.0
qotar blaq,2.0,3.0
folad,2.0,3.0
saberi district,2.0,3.0
ganz,2.0,3.0
rutbah,2.0,3.0
ruyi du ab district,2.0,3.0
rwamisave,2.0,3.0
ali al-sharqi,2.0,3.0
alika,2.0,3.0
mopti district,2.0,3.0
moshav ohad,2.0,3.0
mount hamrin,2.0,3.0
qara parchaw,2.0,3.0
qarqach,2.0,3.0
sahidan,2.0,3.0
fallujah,2.0,3.0
mulayan,2.0,3.0
unguwan madaki,2.0,3.0
aloja,2.0,3.0
aluakluak,2.0,3.0
amarah,2.0,3.0
ukana ikot ntuen,2.0,3.0
anas,2.0,3.0
umu-ugadu,2.0,3.0
mullahkhil,2.0,3.0
muqdadiyah,2.0,3.0
muqdadiyah district,2.0,3.0
muqur,2.0,3.0
antongalon,2.0,3.0
appi,2.0,3.0
udei,2.0,3.0
ugboke,2.0,3.0
ugbuodo,2.0,3.0
dyudei,2.0,3.0
eduardo mondlane,2.0,3.0
hasakah,2.0,3.0
salem,2.0,3.0
muzayrib,2.0,3.0
layegh,2.0,3.0
lambakin,2.0,3.0
ashkelon,2.0,3.0
tse zoola,2.0,3.0
san salvador,2.0,3.0
san vicente,2.0,3.0
el faki ahmed zakariya,2.0,3.0
el ripial,2.0,3.0
encho,2.0,3.0
tse-iber,2.0,3.0
nad ali district,2.0,3.0
labbezenga,2.0,3.0
lal wa sarjangal district,2.0,3.0
laman,2.0,3.0
namkhan,2.0,3.0
nana kenieba,2.0,3.0
kyiywa,2.0,3.0
nasiriha,2.0,3.0
nawa district,2.0,3.0
tormay,2.0,3.0
tourou,2.0,3.0
travesias,2.0,3.0
ekondo titi,2.0,3.0
sang aab,2.0,3.0
sango,2.0,3.0
santo tomas jalieza,2.0,3.0
nawa-i-barakzayi district,2.0,3.0
nawah,2.0,3.0
kushk district,2.0,3.0
kumbo,2.0,3.0
babonga,2.0,3.0
babuzai,2.0,3.0
bachidubi,2.0,3.0
aveyi,2.0,3.0
ayethaya,2.0,3.0
kunming,2.0,3.0
nawur district,2.0,3.0
nazate,2.0,3.0
nazyan district,2.0,3.0
pul-e-matak,2.0,3.0
dwa toi,2.0,3.0
sar-e howz,2.0,3.0
hussain khel,2.0,3.0
koulpiko,2.0,3.0
baghak,2.0,3.0
timber junction,2.0,3.0
tingrai,2.0,3.0
tofaha,2.0,3.0
kotal khel,2.0,3.0
nguti,2.0,3.0
nicolas,2.0,3.0
dhu ghaithan,2.0,3.0
ika district,2.0,3.0
ibiaku ntok okpo,2.0,3.0
bagram,2.0,3.0
kokona district,2.0,3.0
kolofata,2.0,3.0
kologobo,2.0,3.0
kombou,2.0,3.0
nirkh district,2.0,3.0
nnodo,2.0,3.0
tel aviv,2.0,3.0
bajo caura,2.0,3.0
norakinga,2.0,3.0
kitimba,2.0,3.0
baqubah,2.0,3.0
band-e-ziyarat,2.0,3.0
pissila,2.0,3.0
injil district,2.0,3.0
intan jaya district,2.0,3.0
poblacion,2.0,3.0
dioura,2.0,3.0
do aaba,2.0,3.0
dobandi,2.0,3.0
shah qadam,2.0,3.0
bandar kalaft,2.0,3.0
kirumbu,2.0,3.0
kismayo,2.0,3.0
nyalibati,2.0,3.0
nyaung hla,2.0,3.0
barsalogho,2.0,3.0
tarkhoo,2.0,3.0
khwaja baha wuddin district,2.0,3.0
khwaja gogerdak,2.0,3.0
khwaran,2.0,3.0
kibanda,2.0,3.0
tank district,2.0,3.0
ishakani,2.0,3.0
islah,2.0,3.0
dhubab,2.0,3.0
dekai,2.0,3.0
del carmen,2.0,3.0
khwaja alwan,2.0,3.0
obama,2.0,3.0
beir al-abd,2.0,3.0
obodo ocha,2.0,3.0
obosi,2.0,3.0
ocotlan district,2.0,3.0
kharnaidisha,2.0,3.0
bhatpara,2.0,3.0
bheji,2.0,3.0
bijbehara,2.0,3.0
tal shihab,2.0,3.0
tall abyad,2.0,3.0
jablipora,2.0,3.0
shahr-e safa district,2.0,3.0
shaikh qalandar baba,2.0,3.0
khakrez district,2.0,3.0
ofatura,2.0,3.0
olumboa,2.0,3.0
kendwal,2.0,3.0
kerena,2.0,3.0
karachi,2.0,3.0
karez elyas,2.0,3.0
tajkano,2.0,3.0
takatami,2.0,3.0
kashkak,2.0,3.0
jaje tapa,2.0,3.0
darumba,2.0,3.0
dando,2.0,3.0
izra,2.0,3.0
bognori,2.0,3.0
tabqah,2.0,3.0
buhriz,2.0,3.0
bujumbura,2.0,3.0
orji,2.0,3.0
otuebu elebe,2.0,3.0
busayyah,2.0,3.0
soorkot,2.0,3.0
soweissa,2.0,3.0
spinwam,2.0,3.0
kamar kalgh,2.0,3.0
papallasen,2.0,3.0
parou,2.0,3.0
parzali,2.0,3.0
dahamsh,2.0,3.0
dara shakh,2.0,3.0
shanda manda,2.0,3.0
shar-e naw,2.0,3.0
kampala,2.0,3.0
owode-ketu,2.0,3.0
pachir agam district,2.0,3.0
cabas-an,2.0,3.0
burdhubo,2.0,3.0
kala,2.0,3.0
kalingi,2.0,3.0
palo dheri,2.0,3.0
kabakaba,2.0,3.0
chahar bolak district,2.0,3.0
charkh district,2.0,3.0
chawk-e-arghandi,2.0,3.0
jugbere,2.0,3.0
jerusalem,2.0,3.0
jeyu,2.0,3.0
corinto,2.0,3.0
cotabato city,2.0,3.0
pangari,2.0,3.0
shouk al-reem,2.0,3.0
choba,2.0,3.0
mbayer-yandev,2.0,3.0
adoor aggwei,2.0,3.0
agua viva,2.0,3.0
ahmad abad district,2.0,3.0
rangae district,2.0,3.0
zigague,2.0,3.0
zogu,2.0,3.0
mbwavinwa,2.0,3.0
adani,2.0,3.0
zhar sahib,2.0,3.0
zove,1.0,2.0
zelikan,1.0,2.0
mavivi,1.0,2.0
mir ali,1.0,2.0
rafah,1.0,2.0
ghomeen,1.0,2.0
rishon lezion,1.0,2.0
rizal,1.0,2.0
rohtas district,1.0,2.0
romangaob,1.0,2.0
rawalpindi,1.0,2.0
richards bay,1.0,2.0
gifgafa,1.0,2.0
gloz,1.0,2.0
ghani khel,1.0,2.0
goniri,1.0,2.0
marjan,1.0,2.0
manikpur,1.0,2.0
ajaawa,1.0,2.0
julukoma,1.0,2.0
jurf al-nasr,1.0,2.0
jurm,1.0,2.0
pandan,1.0,2.0
pandra,1.0,2.0
pangi,1.0,2.0
panjgur,1.0,2.0
shotor gardan,1.0,2.0
chorhat,1.0,2.0
sibsib,1.0,2.0
sidakan,1.0,2.0
panjpiran,1.0,2.0
jawdara,1.0,2.0
mbakpa,1.0,2.0
mbatyough,1.0,2.0
marwah,1.0,2.0
chaungsone,1.0,2.0
cheltan,1.0,2.0
chergo,1.0,2.0
joyak,1.0,2.0
jelma district,1.0,2.0
jinderes,1.0,2.0
jindires,1.0,2.0
jiyanpur,1.0,2.0
joul al-raidah,1.0,2.0
jamuria,1.0,2.0
concepcion,1.0,2.0
shinwar district,1.0,2.0
shoroman,1.0,2.0
jani khel district,1.0,2.0
janzour,1.0,2.0
jarabulus district,1.0,2.0
sirajganj district,1.0,2.0
sitalkuchi,1.0,2.0
sitio nuevo,1.0,2.0
siyabuswa,1.0,2.0
solmnore,1.0,2.0
sonoyta,1.0,2.0
sonpur,1.0,2.0
pakokku,1.0,2.0
palampas,1.0,2.0
palnar,1.0,2.0
kaigourou,1.0,2.0
chanchanji,1.0,2.0
chanmyathazi,1.0,2.0
chapal,1.0,2.0
cato ridge,1.0,2.0
simikanda,1.0,2.0
shatrah,1.0,2.0
owerri district,1.0,2.0
pa bon,1.0,2.0
cabruta,1.0,2.0
calasiao district,1.0,2.0
cali,1.0,2.0
canlubang,1.0,2.0
capiton,1.0,2.0
bulire,1.0,2.0
buraiqeh district,1.0,2.0
burj haidar,1.0,2.0
pahurnar,1.0,2.0
pailahueque,1.0,2.0
kaldar district,1.0,2.0
painnegone,1.0,2.0
pajo,1.0,2.0
orsu district,1.0,2.0
oshodi,1.0,2.0
ossing,1.0,2.0
osso banyungu,1.0,2.0
busumba,1.0,2.0
kalungan,1.0,2.0
kama district,1.0,2.0
kamkheda,1.0,2.0
jasiira,1.0,2.0
pardoni,1.0,2.0
parwana,1.0,2.0
damadola,1.0,2.0
sheikh zuweid,1.0,2.0
shamsipora,1.0,2.0
shapak,1.0,2.0
shariff aguak,1.0,2.0
daojingphang,1.0,2.0
izmir,1.0,2.0
jabli pora,1.0,2.0
katekalyan,1.0,2.0
kanaqol,1.0,2.0
kandapenta,1.0,2.0
kanigorram,1.0,2.0
bot khak,1.0,2.0
bir ahmad,1.0,2.0
bir nabala,1.0,2.0
tachileik,1.0,2.0
tadjourah,1.0,2.0
brisas de caranal,1.0,2.0
bukuru,1.0,2.0
bonali,1.0,2.0
orma,1.0,2.0
taif,1.0,2.0
taighe taimur,1.0,2.0
takhta,1.0,2.0
tal al-tabaa,1.0,2.0
tal aziz,1.0,2.0
karukh district,1.0,2.0
kata kopruk,1.0,2.0
shaykh uthman,1.0,2.0
daarul salaam,1.0,2.0
jaji maydan district,1.0,2.0
jakarta,1.0,2.0
jallam,1.0,2.0
jamil khudair bazaiz,1.0,2.0
iwere-ile,1.0,2.0
darzab district,1.0,2.0
dambet,1.0,2.0
pescador,1.0,2.0
tall dhahab,1.0,2.0
khabr al-maraqisha,1.0,2.0
khadi,1.0,2.0
khagaria district,1.0,2.0
offa district,1.0,2.0
ofra,1.0,2.0
oghara,1.0,2.0
oha,1.0,2.0
oke-irori,1.0,2.0
okokodo,1.0,2.0
okpokwu district,1.0,2.0
olorunda,1.0,2.0
orchha,1.0,2.0
karbala,1.0,2.0
taguig,1.0,2.0
khanaqa,1.0,2.0
kermapal,1.0,2.0
bilchiragh district,1.0,2.0
bilogai,1.0,2.0
patpat,1.0,2.0
peddagellur,1.0,2.0
pegunungan bintang district,1.0,2.0
perangi baro,1.0,2.0
pereira,1.0,2.0
datta khel,1.0,2.0
deh,1.0,2.0
dera ismail khan,1.0,2.0
derker,1.0,2.0
dewah gal,1.0,2.0
dewana baba,1.0,2.0
pervari district,1.0,2.0
barikab,1.0,2.0
khin-u,1.0,2.0
khogyani district,1.0,2.0
khok pho district,1.0,2.0
khost wa firing district,1.0,2.0
khursipar khurd,1.0,2.0
obibi,1.0,2.0
obiozara,1.0,2.0
talnaar,1.0,2.0
talo halo,1.0,2.0
bazidkhel,1.0,2.0
belfast,1.0,2.0
beoga,1.0,2.0
tangi,1.0,2.0
tangi qaraqul,1.0,2.0
khan younis,1.0,2.0
tappi,1.0,2.0
batabat sur,1.0,2.0
batie,1.0,2.0
bay district,1.0,2.0
bazar,1.0,2.0
peshawar,1.0,2.0
isey,1.0,2.0
isihor,1.0,2.0
isla buenos aires,1.0,2.0
itikan,1.0,2.0
iwaraja,1.0,2.0
phaya thonesu,1.0,2.0
pinlon,1.0,2.0
dibis district,1.0,2.0
didroz,1.0,2.0
dembi dolo,1.0,2.0
shagbaor,1.0,2.0
kiryat arba,1.0,2.0
nowgam,1.0,2.0
nurgaram district,1.0,2.0
barqa,1.0,2.0
barwana,1.0,2.0
bashir,1.0,2.0
basima,1.0,2.0
tarin kot district,1.0,2.0
tarkint,1.0,2.0
khwaja lakan,1.0,2.0
khwaja sabz posh district,1.0,2.0
kifah,1.0,2.0
kifri district,1.0,2.0
kihkad,1.0,2.0
khashang,1.0,2.0
kitshanga,1.0,2.0
klela,1.0,2.0
kofai amadu,1.0,2.0
bangonay,1.0,2.0
tasma,1.0,2.0
taunggyi,1.0,2.0
bar tasan,1.0,2.0
barddhaman,1.0,2.0
bardere,1.0,2.0
pir-e-ghaibi,1.0,2.0
ini district,1.0,2.0
inlowo,1.0,2.0
pole-e shahrawan,1.0,2.0
diphu,1.0,2.0
diwaniyah,1.0,2.0
sderot,1.0,2.0
idemili south district,1.0,2.0
sayd khel district,1.0,2.0
sayyad,1.0,2.0
doka,1.0,2.0
dinsor,1.0,2.0
igua,1.0,2.0
tiguma,1.0,2.0
kohbaki,1.0,2.0
kohna qala,1.0,2.0
tekanar,1.0,2.0
temrugaon,1.0,2.0
bamhani,1.0,2.0
banchhara para,1.0,2.0
north waziristan district,1.0,2.0
novotoshkivske,1.0,2.0
kitovo,1.0,2.0
niamey,1.0,2.0
niem,1.0,2.0
bala,1.0,2.0
balikumbat,1.0,2.0
thaton district,1.0,2.0
thayetkhan,1.0,2.0
thephyuwa,1.0,2.0
thipaw,1.0,2.0
tialbonga,1.0,2.0
polonuling,1.0,2.0
pondum,1.0,2.0
posta-e-bairaq,1.0,2.0
iju,1.0,2.0
ikot afanga,1.0,2.0
ilambet,1.0,2.0
idah,1.0,2.0
ibarapa east district,1.0,2.0
kudaburu,1.0,2.0
kukur,1.0,2.0
kondo,1.0,2.0
bacuag,1.0,2.0
bagh dari,1.0,2.0
bagh-e-dawood,1.0,2.0
bagmari,1.0,2.0
bab al-hawa,1.0,2.0
bagram district,1.0,2.0
bahrami shahid district,1.0,2.0
bahuahi,1.0,2.0
baijat,1.0,2.0
tindi,1.0,2.0
kothapalle,1.0,2.0
new bwari,1.0,2.0
nekemte,1.0,2.0
neni,1.0,2.0
netiv ha'asara,1.0,2.0
kotrapal,1.0,2.0
kotwal,1.0,2.0
pul-e-ahany,1.0,2.0
pul-e-daryay-e-kalakan,1.0,2.0
pul-e-shashmetra,1.0,2.0
puli alam district,1.0,2.0
durani,1.0,2.0
sapele,1.0,2.0
sar hawza district,1.0,2.0
sarak-e-panj,1.0,2.0
saravan,1.0,2.0
sargento jose felix lopez district,1.0,2.0
ibadan,1.0,2.0
santiago,1.0,2.0
sao joao do triunfo,1.0,2.0
asil targao,1.0,2.0
kurram district,1.0,2.0
kuz kunar district,1.0,2.0
kulangar,1.0,2.0
kumba,1.0,2.0
bacho,1.0,2.0
awlad-e-ata-mohammad,1.0,2.0
awommama,1.0,2.0
ayamelum district,1.0,2.0
aybak,1.0,2.0
kunduz district,1.0,2.0
kurin,1.0,2.0
ndian district,1.0,2.0
neiva,1.0,2.0
azizkhel,1.0,2.0
tot mazar,1.0,2.0
tougbo,1.0,2.0
toumousseni,1.0,2.0
tral,1.0,2.0
trindad,1.0,2.0
ibegwa-ani,1.0,2.0
hilaywah,1.0,2.0
hizma,1.0,2.0
homalin,1.0,2.0
horlivka,1.0,2.0
el descanso,1.0,2.0
sanjidak,1.0,2.0
santa cruz,1.0,2.0
santa cruz de juventino rosas,1.0,2.0
santa isabel,1.0,2.0
asadabad,1.0,2.0
asadiyah,1.0,2.0
labu-labu,1.0,2.0
laja ahmad khail district,1.0,2.0
lakhtonghai,1.0,2.0
lala bay,1.0,2.0
namt swan,1.0,2.0
namya,1.0,2.0
nani,1.0,2.0
narmakaw,1.0,2.0
la chapelle-sur-erdre,1.0,2.0
la maelstrom,1.0,2.0
la parada,1.0,2.0
la plancha,1.0,2.0
naung bo,1.0,2.0
naw doman,1.0,2.0
el palo,1.0,2.0
el pinche,1.0,2.0
dwo-jou,1.0,2.0
tse-shishim,1.0,2.0
tseagbungu,1.0,2.0
tshibitshibi,1.0,2.0
lanuza,1.0,2.0
larrazabal,1.0,2.0
latambar,1.0,2.0
nadoman,1.0,2.0
nahr-e-chaman,1.0,2.0
atabapo,1.0,2.0
athens,1.0,2.0
athman,1.0,2.0
aungban,1.0,2.0
ariyan,1.0,2.0
myintant,1.0,2.0
lau kunini,1.0,2.0
lawa-an,1.0,2.0
laygayon,1.0,2.0
lamba,1.0,2.0
ash shaikh outhman district,1.0,2.0
ashaka,1.0,2.0
asheqan,1.0,2.0
sapary targaoo,1.0,2.0
du aab,1.0,2.0
hoshab,1.0,2.0
qala-e-gord aab,1.0,2.0
qala-e-mohammad,1.0,2.0
qala-e-reeg,1.0,2.0
qalandiyah,1.0,2.0
hawijah,1.0,2.0
linatuyan,1.0,2.0
lipa,1.0,2.0
livano,1.0,2.0
loikaw district,1.0,2.0
musuku,1.0,2.0
mutuang,1.0,2.0
arbil,1.0,2.0
ari bagh,1.0,2.0
ariel,1.0,2.0
tubas,1.0,2.0
tukums,1.0,2.0
tulak district,1.0,2.0
tunkushe,1.0,2.0
myawaddy district,1.0,2.0
myeik district,1.0,2.0
myingyan district,1.0,2.0
ugu district,1.0,2.0
ebenato,1.0,2.0
hawijah district,1.0,2.0
hays,1.0,2.0
hazar sumuch district,1.0,2.0
hebron,1.0,2.0
heremakano,1.0,2.0
hareri hosle,1.0,2.0
harifkhil,1.0,2.0
salang district,1.0,2.0
salka,1.0,2.0
eromage,1.0,2.0
eronggobak,1.0,2.0
muse,1.0,2.0
muse district,1.0,2.0
lice district,1.0,2.0
haji lawang,1.0,2.0
halfaya,1.0,2.0
mudiyah district,1.0,2.0
mukairas,1.0,2.0
mukha,1.0,2.0
umueze obiangwu,1.0,2.0
ambeli,1.0,2.0
amoka,1.0,2.0
anan,1.0,2.0
um al-khanazir,1.0,2.0
umm batne,1.0,2.0
mullaitivu,1.0,2.0
lubo baya,1.0,2.0
murapani,1.0,2.0
antipolo del sur,1.0,2.0
ugbodo,1.0,2.0
moralia,1.0,2.0
moura ban shakh,1.0,2.0
luz,1.0,2.0
maayongtubig,1.0,2.0
macogon,1.0,2.0
magam,1.0,2.0
hawara,1.0,2.0
hawi kunaytra,1.0,2.0
qalay-i-zal district,1.0,2.0
qarabagh district,1.0,2.0
qargha,1.0,2.0
qasem pul,1.0,2.0
qaya,1.0,2.0
qolla,1.0,2.0
farkhar district,1.0,2.0
fatoma,1.0,2.0
utu etim ekpo,1.0,2.0
verkhniotoretske,1.0,2.0
albu fayyad,1.0,2.0
albu shihab,1.0,2.0
hamrin,1.0,2.0
fuxin,1.0,2.0
gaday qala,1.0,2.0
gaddagi,1.0,2.0
sabz sang,1.0,2.0
gangajoara,1.0,2.0
garagou,1.0,2.0
ali khel,1.0,2.0
al-turbah,1.0,2.0
mahmud raqi district,1.0,2.0
maikai,1.0,2.0
monywa,1.0,2.0
mambasa,1.0,2.0
mand,1.0,2.0
mandera,1.0,2.0
mohmand district,1.0,2.0
mokha,1.0,2.0
molla barho,1.0,2.0
wazirabad,1.0,2.0
al-jazrah,1.0,2.0
al-sahwa,1.0,2.0
al-shajarah,1.0,2.0
wazhgona,1.0,2.0
wazhgonah,1.0,2.0
malitbog,1.0,2.0
malumfashi,1.0,2.0
alander,1.0,2.0
wadi al-atheeb,1.0,2.0
galbana,1.0,2.0
guibahoy,1.0,2.0
rabat abdullah,1.0,2.0
al-dawalib,1.0,2.0
al-fasidah,1.0,2.0
manila,1.0,2.0
manini,1.0,2.0
manqah,1.0,2.0
mansi,1.0,2.0
manzarkhel,1.0,2.0
mapagong,1.0,2.0
mishraq,1.0,2.0
miyan joy,1.0,2.0
al-humur,1.0,2.0
yalow-farhan,1.0,2.0
mamasi,1.0,2.0
ajebamidele,1.0,2.0
akilibu,1.0,2.0
yonesigyi,1.0,2.0
yangon-s district,1.0,2.0
yankajah,1.0,2.0
yathrib,1.0,2.0
saan,1.0,2.0
quldary,1.0,2.0
qurghan district,1.0,2.0
gurbulak,1.0,2.0
hafash,1.0,2.0
guarumo,1.0,2.0
gubio district,1.0,2.0
garkhel,1.0,2.0
gaythapara,1.0,2.0
galadimawa,1.0,2.0
metha khel,1.0,2.0
abaomege,1.0,2.0
zibingan,1.0,2.0
abbasiya,1.0,2.0
abdul hamid,1.0,2.0
aab bazak,1.0,2.0
mawlamyine district,1.0,2.0
zibane-koira tegui,1.0,2.0
mazari sharif district,1.0,2.0
mbaatan,1.0,2.0
addousiyeh,1.0,2.0
adeaga,1.0,2.0
masoom kallay,1.0,2.0
matsulu,1.0,2.0
minapasuk,1.0,2.0
minna,1.0,2.0
adraskan,1.0,2.0
af-urur,1.0,2.0
abou rasin,1.0,2.0
abu kershola,1.0,2.0
abu khanazir,1.0,2.0
abud,1.0,2.0
ywar gyi mrauk,1.0,2.0
zahidabad,1.0,2.0
ahor,1.0,2.0
gorgunda,1.0,2.0
gori,1.0,2.0
goundam,1.0,2.0
grimari,1.0,2.0
ras karkar,1.0,2.0
abko,1.0,2.0
zongo,1.0,2.0
zayol,0.0,1.0
aba,0.0,1.0
aba north district,0.0,1.0
abagana,0.0,1.0
abbas khan khoso,0.0,1.0
abd ways,0.0,1.0
abeyeh,0.0,1.0
abha,0.0,1.0
zikim,0.0,1.0
zimrat,0.0,1.0
zinvie,0.0,1.0
ahiazu-mbaise district,0.0,1.0
ahangaran,0.0,1.0
aguleri,0.0,1.0
aglar,0.0,1.0
zalaya,0.0,1.0
zahr,0.0,1.0
zabarmari,0.0,1.0
yusufiyah,0.0,1.0
yuksekova district,0.0,1.0
yogi chowk,0.0,1.0
yehud,0.0,1.0
akwa,0.0,1.0
akaleku,0.0,1.0
ajdabiya,0.0,1.0
ahume,0.0,1.0
al-bubaker,0.0,1.0
marignane,0.0,1.0
margat,0.0,1.0
mardan,0.0,1.0
mapawa,0.0,1.0
mirsad,0.0,1.0
miranda,0.0,1.0
minpa,0.0,1.0
micmac,0.0,1.0
matari,0.0,1.0
mastumah,0.0,1.0
masafer yatta,0.0,1.0
maryville,0.0,1.0
maryamin,0.0,1.0
marseille,0.0,1.0
mbanga,0.0,1.0
maymana district,0.0,1.0
manbar,0.0,1.0
man sam,0.0,1.0
mamond tangi,0.0,1.0
moetar,0.0,1.0
modipara,0.0,1.0
mlaiha el-garbiah,0.0,1.0
mizan district,0.0,1.0
miya nishin district,0.0,1.0
miya khel,0.0,1.0
mirzakhil,0.0,1.0
mankon,0.0,1.0
manjakote,0.0,1.0
manguna,0.0,1.0
mangina,0.0,1.0
mangeleza,0.0,1.0
mariupol,0.0,1.0
malkangiri district,0.0,1.0
male,0.0,1.0
makumo,0.0,1.0
makhmur district,0.0,1.0
montemorelos,0.0,1.0
monrovia,0.0,1.0
mongyai,0.0,1.0
monguno district,0.0,1.0
mondomo,0.0,1.0
momauk,0.0,1.0
mogoke,0.0,1.0
mangajek district,0.0,1.0
mang li,0.0,1.0
mandimba,0.0,1.0
mandar,0.0,1.0
mandahican,0.0,1.0
macalamcam b,0.0,1.0
maas,0.0,1.0
lushebere,0.0,1.0
lurgan,0.0,1.0
mucojo,0.0,1.0
moulvibazar,0.0,1.0
mosul district,0.0,1.0
mosul,0.0,1.0
morinville,0.0,1.0
majorville,0.0,1.0
majd,0.0,1.0
mahungubwe,0.0,1.0
mahliyah district,0.0,1.0
mahawil district,0.0,1.0
magway district,0.0,1.0
malleco district,0.0,1.0
los angeles,0.0,1.0
longkhaw,0.0,1.0
londonderry,0.0,1.0
mulla killi,0.0,1.0
mulano,0.0,1.0
mukhaysah,0.0,1.0
mukalla,0.0,1.0
muhmand dara district,0.0,1.0
muhaymidah,0.0,1.0
mufash,0.0,1.0
mueda,0.0,1.0
magway,0.0,1.0
maghery,0.0,1.0
mafa,0.0,1.0
madarat,0.0,1.0
madama,0.0,1.0
lleulleo chico,0.0,1.0
llanos de cuiva,0.0,1.0
limbe,0.0,1.0
limavady,0.0,1.0
mussa,0.0,1.0
mushahidah,0.0,1.0
musayyib,0.0,1.0
musayi district,0.0,1.0
murindo district,0.0,1.0
munich,0.0,1.0
mungwanga,0.0,1.0
luq,0.0,1.0
lumaco,0.0,1.0
lukongo,0.0,1.0
lubero district,0.0,1.0
los mochis,0.0,1.0
leipzig,0.0,1.0
lehban,0.0,1.0
lego,0.0,1.0
lee's summit,0.0,1.0
lawdar district,0.0,1.0
lautaro,0.0,1.0
latifiyah,0.0,1.0
nablus,0.0,1.0
myitkyina,0.0,1.0
myingyan,0.0,1.0
myawaddy,0.0,1.0
muyuka,0.0,1.0
loma de balsamo,0.0,1.0
lohardaga district,0.0,1.0
logariha,0.0,1.0
lod,0.0,1.0
nam dam,0.0,1.0
nalchity,0.0,1.0
nakulabye,0.0,1.0
najran,0.0,1.0
najaf,0.0,1.0
nahal oz,0.0,1.0
nagahan,0.0,1.0
lashio,0.0,1.0
las anod,0.0,1.0
larne,0.0,1.0
lanji,0.0,1.0
langar,0.0,1.0
lamuka,0.0,1.0
